#Budget,period,Request throughput,achieved throughput,sent throughput,Size,min,Avg,max,std.dev,median
1000,10000,20000000,19999673,20000023,100,4,109,1102,124.40,83
1000,10000,20000000,20000057,20000057,100,40,108,1100,115.97,85
1000,10000,20000000,19999994,20000094,100,41,109,1108,114.01,84
1000,10000,20000000,19999951,20000051,100,41,104,1100,102.73,82
1000,10000,20000000,19999941,20000091,100,39,115,1099,133.83,86
1000,10000,20000000,20000093,20000093,100,10,102,1097,98.25,83
1000,10000,20000000,20000053,20000053,100,46,115,1099,144.25,79
1000,10000,20000000,19999901,20000051,100,41,110,1100,117.27,86
1000,10000,20000000,20000054,20000054,100,32,110,1097,121.05,86
2000,10000,20000000,20000003,20000053,100,41,135,2093,170.11,81
2000,10000,20000000,19999903,20000053,100,27,156,2101,221.20,85
2000,10000,20000000,20000348,20000048,100,39,139,2092,166.54,86
2000,10000,20000000,19999563,20000013,100,41,164,2102,234.29,85
2000,10000,20000000,19999717,20000067,100,42,178,2102,282.90,79
2000,10000,20000000,20000103,20000053,100,40,154,2098,224.85,85
2000,10000,20000000,20000104,20000004,100,40,128,1274,130.95,85
2000,10000,20000000,20000057,20000057,100,20,179,2109,282.44,86
2000,10000,20000000,20000051,20000051,100,26,156,2098,227.08,85
2000,10000,20000000,19999960,20000060,100,40,153,2097,211.13,86
3000,10000,20000000,19999593,20000043,100,41,255,3103,409.60,83
3000,10000,20000000,19999987,20000087,100,42,212,3099,313.75,86
3000,10000,20000000,20000005,20000055,100,29,221,3103,358.39,85
3000,10000,20000000,19998811,20000061,100,39,230,3099,362.52,86
3000,10000,20000000,19999896,20000046,100,20,239,3104,363.47,85
3000,10000,20000000,19999905,20000055,100,31,230,3110,373.60,85
3000,10000,20000000,20000093,20000093,100,36,243,3102,405.49,85
3000,10000,20000000,19999956,20000056,100,35,192,2513,260.56,84
3000,10000,20000000,20000442,20000092,100,35,197,3095,267.06,86
3000,10000,20000000,20000114,20000014,100,40,188,3084,255.48,86
4000,10000,20000000,20000698,20000048,100,8,268,4090,398.16,86
4000,10000,20000000,20000090,20000089,100,16,266,4098,407.50,87
4000,10000,20000000,20000141,20000091,100,39,278,4111,445.55,87
4000,10000,20000000,19999908,20000058,100,23,315,4103,484.27,86
4000,10000,20000000,20000250,20000050,100,39,302,4112,459.33,87
4000,10000,20000000,20000003,20000052,100,39,323,4104,499.34,86
4000,10000,20000000,20000604,20000054,100,38,332,4106,538.67,86
4000,10000,20000000,19999954,20000054,100,12,258,4102,385.31,86
4000,10000,20000000,19999994,20000094,100,13,236,3168,315.74,86
4000,10000,20000000,20002393,20000093,100,9,260,4011,373.27,86
5000,10000,20000000,20001204,20000054,100,41,368,5100,509.74,118
5000,10000,20000000,20000867,20000017,100,40,406,5105,599.77,116
5000,10000,20000000,20000041,20000091,100,22,340,5096,489.01,115
5000,10000,20000000,20000192,20000092,100,14,366,5111,538.76,116
5000,10000,20000000,20000041,20000091,100,39,377,5110,573.27,117
5000,10000,20000000,19999951,20000051,100,43,381,5109,516.82,121
5000,10000,20000000,20001301,20000051,100,38,278,3871,354.13,108
5000,10000,20000000,19999995,20000045,100,40,343,5099,507.16,115
5000,10000,20000000,20001654,20000054,100,15,341,5102,489.05,116
5000,10000,20000000,20000981,20000081,100,39,330,3908,446.45,113
6000,10000,20000000,19999675,20000025,100,38,470,6109,635.80,211
6000,10000,20000000,19999797,20000047,100,39,393,5832,505.60,193
6000,10000,20000000,20000019,20000019,100,40,404,6097,564.45,189
6000,10000,20000000,19999978,20000028,100,15,529,6107,767.60,221
6000,10000,20000000,20003492,20000042,100,27,459,6066,632.69,206
6000,10000,20000000,19999832,20000032,100,40,388,6102,520.03,194
6000,10000,20000000,19998827,20000027,100,39,376,5067,457.45,192
6000,10000,20000000,20000037,20000087,100,31,439,5222,563.88,211
6000,10000,20000000,19999953,20000052,100,20,458,5932,661.33,203
6000,10000,20000000,20000322,20000022,100,9,399,4186,501.98,200
7000,10000,20000000,19999981,20000031,100,14,599,7109,754.49,333
7000,10000,20000000,20000188,20000038,100,40,607,7101,785.32,323
7000,10000,20000000,20000961,20000061,100,6,605,7110,857.34,290
7000,10000,20000000,20000054,20000054,100,5,631,7125,839.26,328
7000,10000,20000000,20000326,20000026,100,39,494,7095,631.45,268
7000,10000,20000000,20000459,20000059,100,37,507,7117,648.33,280
7000,10000,20000000,19999623,20000073,100,39,523,7098,666.22,298
7000,10000,20000000,20000090,20000090,100,38,562,7122,674.62,312
7000,10000,20000000,19999939,20000039,100,38,675,7120,925.96,324
7000,10000,20000000,19999480,20000030,100,14,654,7115,826.51,340
8000,10000,20000000,20000046,20000046,100,39,771,8123,938.50,439
8000,10000,20000000,19998695,20000044,100,37,730,8124,925.81,417
8000,10000,20000000,20000409,20000059,100,42,713,8116,881.26,417
8000,10000,20000000,20001143,20000093,100,33,675,8073,852.04,391
8000,10000,20000000,20001096,20000046,100,41,780,8111,924.19,454
8000,10000,20000000,19999121,20000071,100,40,812,8113,989.17,461
8000,10000,20000000,19998182,20000032,100,40,767,8117,994.27,431
8000,10000,20000000,19999851,20000051,100,32,732,8124,969.14,403
8000,10000,20000000,19999710,20000010,100,41,833,8118,1008.94,476
8000,10000,20000000,19998339,20000039,100,39,756,8107,931.07,421
9000,10000,20000000,19990395,20000090,100,41,1127,9121,1347.20,656
9000,10000,20000000,19994604,20000052,100,41,1059,9123,1188.00,650
9000,10000,20000000,19997567,20000067,100,40,1019,9117,1183.22,625
9000,10000,20000000,19993296,20000043,100,40,1046,9118,1203.11,616
9000,10000,20000000,19995295,20000043,100,41,1067,9119,1235.60,642
9000,10000,20000000,19994753,20000052,100,42,1115,9111,1285.91,664
9000,10000,20000000,19995083,20000032,100,42,1070,9127,1245.17,635
9000,10000,20000000,19993006,20000004,100,4,1178,9131,1359.96,677
9000,10000,20000000,19998361,20000010,100,39,1077,9116,1299.60,603
9000,10000,20000000,19993054,20000051,100,41,1036,9118,1230.98,625
10000,10000,20000000,9363240,20000021,100,75,17809,30113,3294.10,17847
10000,10000,20000000,9360757,20000007,100,9991,17831,30111,3302.05,17854
10000,10000,20000000,9374289,20000025,100,85,17804,30116,3299.41,17845
10000,10000,20000000,9365587,20000004,100,77,17816,30106,3297.40,17849
10000,10000,20000000,9364600,20000024,100,10018,17824,30122,3293.47,17851
10000,10000,20000000,9361195,20000007,100,10011,17827,30118,3297.97,17852
10000,10000,20000000,9358860,20000026,100,10006,17823,30123,3296.82,17851
10000,10000,20000000,9373776,20000007,100,131,17801,30117,3279.62,17846
